URL,Drug Name,Uses,Side Effects
https://www.nepmeds.com.np/detail/valprol-cr-200mg-tab-duplicate,Valprol CR 200mg Tab-duplicate,"This medication is used to treat seizure disorders, mental/mood conditions (such as manic phase of bipolar disorder), and to prevent migraine headaches.",
https://www.nepmeds.com.np/detail/fusibect-b-10gm-cream,Fusibect-B 10gm cream,"The active ingredient ofFUSIBECTcream is fusidic acid.FUSIBECTis a topical antibacterial agent used to prevent and treat mild to moderate skin infections caused by susceptible bacteria.  Betamethasoneis a systemic corticosteroid used to relieve inflammation in various conditions, including but not limited to allergic states, dermatologic disorders, gastrointestinal diseases, and hematological disorders.",
https://www.nepmeds.com.np/detail/betameth-g-cream,BETAMETH-G cream,"BETAMETHis a systemic corticosteroid used to relieve inflammation in various conditions, including but not limited to allergic states, dermatologic disorders, gastrointestinal diseases, and hematological disorders.",
https://www.nepmeds.com.np/detail/nexofast-40mg-tablet,Nexofast 40mg Tablet,Each Nexofast 40 contains Esomeprazole Magnesium Trihydrate IP equivalent to Esomeprazole 40 mg (with Sodium Bicarbonate as buffer). It is an antiulcer drug. Esomeprazole is an S-isomer of Omeprazole.  It is rapidly absorbed and the bioavailability is almost 90%. Peak plasma concentration is reached approximately of 1.5 hr. Esomeprazole is highly protein bound.,
https://www.nepmeds.com.np/detail/xtranex-500-mg,Xtranex 500 mg,Safe and effective treatment for refractory melasma and menorrhagia. Composition: Each Xtranex 500mg tablet contains Tranexamic acid IP 500mg. Pharmacokinetics: The absolute bioavailability in women aged 18-49 is approximately 45%. Tranexamic acid is 3% bound to plasma proteins with no apparent binding to albumin. A small fraction of the Tranexamic acid is metabolized. Tranexamic acid is eliminated by urinary excretion primarily via glomerular filtration with more than 95% of the dose excreted unchanged.,
https://www.nepmeds.com.np/detail/luliact-1-cream-30mg,Luliact 1% Cream 30mg,"Luliact contains Luliconazole 1% w/w. Luliconazole is primarily metabolized by cytochromes CYP2D6 & 3A4, and is greater than 99% bound to protein in serum. Diseased skin has increased absorption compared to healthy skin. Luliconazole appears to have a higher Cmax and AUC in patients with tinea cruris compared to tinea pedis. Overall there is low systemic absorption. The half-life of  luliconazole can vary and may be prolonged in some patients.",
https://www.nepmeds.com.np/detail/luliact-1-cream-15-gm,Luliact 1% cream 15 gm,"Luliact contains Luliconazole 1% w/w. Luliconazole is primarily metabolized by cytochromes CYP2D6 & 3A4, and is greater than 99% bound to protein in serum. Diseased skin has increased absorption compared to healthy skin. Luliconazole appears to have a higher Cmax and AUC in patients with tinea cruris compared to tinea pedis. Overall there is low systemic absorption. The half-life of  luliconazole can vary and may be prolonged in some patients.",
https://www.nepmeds.com.np/detail/bactin,Bactin 5,"Bactin contains Mupirocin USP, 2% w/w.  After topical application of mupirocin ointment, mupirocin is only very minimally absorbed systemically. Following topical administration, >97% of the drug is bound to protein. It is rapidly metabolised to inactive monic acid and excreted via the kidneys. The elimination half life is 20-40 minutes for mupirocin and 30-80 minutes for monic acid. Penetration of mupirocin into the deeper epidermal and dermal layers of the skin is enhanced in traumatised skin and under occlusive dressings.",
https://www.nepmeds.com.np/detail/maxflo,Maxflo,Safe and effective in medical expulsion therapy for Ureteral Stones.capsule contains Tamsulosin hydrochloride Each Maxflo capsule contains Tamsulosin hydrochloride USP (as sustained release pellets) 0.4mg. Absorption of tamsulosin hydrochloride is essentially complete (>90%) following oral administration under fasting conditions. The peak plasma levels are achieved at approximately 6 hrs. Approximately 99% of tamsulosin is bound to plasma proteins and its distribution volume is small. The majority of tamsulosin is present in plasma in an unchanged form. Tamsulosin hydrochloride is extensively metabolized by cytochrome P450 enzymes in the liver and less than 10% of the dose is excreted in urine unchanged. The apparent half life of tamsulosin is 14 to 15 hrs.,
https://www.nepmeds.com.np/detail/Acidex,Acidex,Composition: Rabeprazole Sodium Gastroresistant pellets equivalent to Rabeprazole Sodium IP 20mg. Pharmacokinetics: Absolute bioavailabaility of acidex is 52%. Onset of actionis 1 hr and duration of action is 24 hr. Presentation: Acidex is available in 20*10's pack. ,
